Year,City,Avg Temp C?,Avg Temp F?
1743,Memphis,9.45,49.01
1744,Memphis,17.7,63.86
1745,Memphis,9.22,48.596
1746,Memphis,,
1747,Memphis,,
1748,Memphis,,
1749,Memphis,,
1750,Memphis,16.7,62.06
1751,Memphis,17.46,63.428
1752,Memphis,10.61,51.098
1753,Memphis,16.06,60.908
1754,Memphis,16.06,60.908
1755,Memphis,13.84,56.912
1756,Memphis,16.24,61.232
1757,Memphis,15.76,60.368
1758,Memphis,14.59,58.262
1759,Memphis,15.62,60.116
1760,Memphis,14.07,57.326
1761,Memphis,16.52,61.736
1762,Memphis,16.06,60.908
1763,Memphis,14.04,57.272
1764,Memphis,15.98,60.764
1765,Memphis,15.68,60.224
1766,Memphis,16.46,61.628
1767,Memphis,15.34,59.612
1768,Memphis,14.85,58.73
1769,Memphis,15.84,60.512
1770,Memphis,15.69,60.242
1771,Memphis,16.4,61.52
1772,Memphis,16.32,61.376
1773,Memphis,16.37,61.466
1774,Memphis,15.96,60.728
1775,Memphis,16.96,62.528
1776,Memphis,15.69,60.242
1777,Memphis,15.72,60.296
1778,Memphis,13.12,55.616
1779,Memphis,8.32,46.976
1780,Memphis,,
1781,Memphis,16.13,61.034
1782,Memphis,15.71,60.278
1783,Memphis,15.5,59.9
1784,Memphis,15.58,60.044
1785,Memphis,15.28,59.504
1786,Memphis,15.85,60.53
1787,Memphis,15.9,60.62
1788,Memphis,16.29,61.322
1789,Memphis,16.07,60.926
1790,Memphis,15.95,60.71
1791,Memphis,16.22,61.196
1792,Memphis,15.76,60.368
1793,Memphis,16.13,61.034
1794,Memphis,16.28,61.304
1795,Memphis,16.12,61.016
1796,Memphis,15.96,60.728
1797,Memphis,15.9,60.62
1798,Memphis,16.53,61.754
1799,Memphis,16.29,61.322
1800,Memphis,16.11,60.998
1801,Memphis,16.44,61.592
1802,Memphis,16.61,61.898
1803,Memphis,16.46,61.628
1804,Memphis,16.51,61.718
1805,Memphis,16.52,61.736
1806,Memphis,16.19,61.142
1807,Memphis,15.97,60.746
1808,Memphis,15.77,60.386
1809,Memphis,14.94,58.892
1810,Memphis,15,59
1811,Memphis,15.17,59.306
1812,Memphis,14.57,58.226
1813,Memphis,15.6,60.08
1814,Memphis,15.4,59.72
1815,Memphis,15,59
1816,Memphis,14.52,58.136
1817,Memphis,14.69,58.442
1818,Memphis,15.45,59.81
1819,Memphis,15.18,59.324
1820,Memphis,15.14,59.252
1821,Memphis,15.26,59.468
1822,Memphis,16.14,61.052
1823,Memphis,15.61,60.098
1824,Memphis,16.06,60.908
1825,Memphis,16.67,62.006
1826,Memphis,16.23,61.214
1827,Memphis,16.86,62.348
1828,Memphis,17.17,62.906
1829,Memphis,16.11,60.998
1830,Memphis,17.21,62.978
1831,Memphis,15.24,59.432
1832,Memphis,16.28,61.304
1833,Memphis,16.55,61.79
1834,Memphis,16.96,62.528
1835,Memphis,15.27,59.486
1836,Memphis,14.94,58.892
1837,Memphis,15.84,60.512
1838,Memphis,14.97,58.946
1839,Memphis,16.02,60.836
1840,Memphis,16.16,61.088
1841,Memphis,16.02,60.836
1842,Memphis,16.43,61.574
1843,Memphis,15.46,59.828
1844,Memphis,16.4,61.52
